,playerId,marketValueEUR,country,leagueId,leagueName,goals,assists,minutesPlayed,avgRating,xG_nonPenalty,shots,xA,accuratePasses,chancesCreated,dribbles,touches,is_attacker,age,leagueScore,marketValueEUR_log,country_encoded
1179,701154,190000000,France,53,9,26,7,2068,7.92,13.63,115,5.12,752,39,59,1327,1,25,85.5,19.06253463538792,42
1180,823825,75000000,France,54,12,1,0,155,6.58,6.09,22,1.54,247,25,26,590,1,25,90.3,18.132998684833918,42
1181,940087,45000000,Portugal,53,9,11,1,1274,7.23,9.82,52,1.48,263,13,8,577,1,22,85.5,17.622173069956816,98
1182,1297165,25000000,France,53,9,3,6,1492,7.09,3.98,28,4.18,464,31,52,944,1,21,85.5,17.034386422832473,42
1183,660327,5500000,Mali,53,9,0,1,1539,6.79,0.95,14,1.53,556,10,10,924,0,26,85.5,15.520258832020865,76
1184,882400,1500000,France,53,9,0,0,688,6.29,0.26,3,0.6,215,2,2,352,0,26,85.5,14.220976332738882,42
1185,1178332,17000000,France,53,9,0,0,1479,6.51,0.27,8,0.39,547,8,18,837,0,20,85.5,16.648723960844016,42
1186,1285866,23000000,France,53,9,2,1,2152,6.81,2.47,36,1.76,644,20,29,1094,0,20,85.5,16.951004817371683,42
1187,1362622,6500000,France,53,9,1,1,1445,6.88,1.43,20,0.76,410,13,28,789,0,20,85.5,15.687312888712007,42
1189,26392,1500000,France,53,9,4,1,1287,6.66,1.85,29,2.71,339,23,7,553,1,36,85.5,14.220976332738882,42
1190,792008,1000000,South Africa,53,9,3,0,610,6.4,4.89,16,0.53,85,5,4,210,1,28,85.5,13.815511557963774,108
1191,1079539,5500000,France,53,9,3,5,2017,7.03,3.07,43,3.83,455,43,50,1205,1,21,85.5,15.520258832020865,42
1192,1183148,15000000,Netherlands,53,9,7,1,1815,6.59,8.82,41,0.25,166,8,10,482,1,21,85.5,16.52356082573315,86
1193,1199757,19000000,Brazil,53,9,0,3,1089,6.83,0.43,9,3.03,285,26,30,669,1,19,85.5,16.759949589762293,14
1194,1243913,2500000,Mali,53,9,3,1,537,6.55,3.98,23,1.32,103,5,4,232,1,22,85.5,14.731801689838349,76
1195,441871,23000000,France,53,9,8,6,2206,7.27,3.92,43,5.8,990,63,9,1659,0,30,85.5,16.951004817371683,42
1196,478105,13000000,France,53,9,0,1,1864,6.98,1.72,26,1.51,1004,10,14,1453,0,29,85.5,16.380459992348886,42
1197,797594,11000000,Netherlands,53,9,1,1,2003,7.21,0.98,18,0.75,923,22,11,1360,0,26,85.5,16.213405921671733,86
1198,1049999,25000000,France,53,9,0,1,1347,7.04,0.44,9,1.89,735,24,22,1116,0,24,85.5,17.034386422832473,42
1199,1161211,16000000,Switzerland,69,23,1,1,270,8.03,0.26,4,0.17,136,2,2,217,0,22,76.9,16.588099342704055,113
1200,1339208,20000000,France,53,9,4,4,1387,6.98,1.68,31,3.38,451,28,56,1014,0,18,85.5,16.811242881518265,42
1201,1387741,6000000,Morocco,53,9,3,1,470,6.57,2.71,16,1.21,160,5,11,350,0,22,85.5,15.607270193858982,84
1202,1553514,200000,Cameroon,53,9,0,0,104,6.71,0.12,3,0.28,37,3,3,89,0,18,85.5,12.206077645517674,18
1203,693171,25000000,France,53,9,4,1,1523,6.66,3.09,42,1.74,359,19,24,771,1,26,85.5,17.034386422832473,42
1204,770136,27000000,France,53,9,7,2,1382,7.03,4.94,34,2.25,358,15,15,682,1,27,85.5,17.11134746100564,42
1205,844437,33000000,Algeria,53,9,6,3,1878,7.0,6.45,67,2.0,540,18,44,1034,1,24,85.5,17.312018149733785,1
1206,1095445,25000000,France,53,9,9,0,1972,6.8,6.78,54,1.83,367,26,17,740,1,22,85.5,17.034386422832473,42
1207,1282765,6000000,Turkiye,71,24,1,0,260,6.93,0.57,6,0.15,63,2,6,160,1,21,80.8,15.607270193858982,118
1208,614602,5500000,Netherlands,53,9,0,1,1621,7.13,0.41,11,1.04,980,13,5,1383,0,28,85.5,15.520258832020865,86
